cve_ent,state,case_rate,case_rate_last_60_days,death_rate,death_rate_last_60_days,population,pct_disability,pct_limitation,pct_mental_problem,pct_no_problems,average_years_finish,pct_no_med_insurance,pct_med_insurance,average_household_size,pct_household_tics,pct_household_no_tics,pct_pop_0_14_years_old,pct_pop_15_64_years_old,pct_pop_65_more_years_old
1,AGUASCALIENTES,2003.71523070328,142.6146720245916,175.3756181885985,2.9972780533027565,1434635,4.96948701237597,11.534780623642947,1.4058628152805417,82.10715617561262,10.35,18.268618847302623,80.93619631474208,3.68,99.5572461799221,0.44275382007788955,26.84968650562687,65.64972972219415,6.766180944979036
2,BAJA CALIFORNIA,1475.8720261643614,95.18915129792884,246.2262728660298,5.364706503785007,3634868,4.180206819064682,9.938985404696952,1.4448667737040244,88.41215141787816,10.2,23.00818076474854,79.92766174727666,3.26,99.165994291996,0.8340057080040004,24.163270853301963,72.55333618717378,6.747975442299419
3,BAJA CALIFORNIA SUR,6340.063724978502,2027.319226352913,257.1118964891613,72.07583371856623,804708,4.396998662869016,11.21313569642653,1.2952524393941653,82.41710036435576,10.34,16.06421211172251,82.5295635186925,3.3,98.91544820932515,1.0845517906748507,24.487515968525226,68.22835115346187,6.028646415842765
4,CAMPECHE,1585.521733090683,509.18583234144535,151.50652047686577,24.684769497220213,1000617,5.222677607915916,11.288634912259136,1.2306406946913755,75.28065183781607,9.63,20.317863877987282,71.92332330951803,3.55,95.38671013519992,4.613289864800077,24.09693219283702,61.27349425404526,6.979493652416459
5,COAHUILA,2341.8936720186907,190.1687627379828,204.80190883332503,3.634985335785654,3218720,4.188497290848536,9.399481781577771,1.0896567579658996,83.38050529402993,10.43,18.559334145250286,78.93535318387434,3.48,99.36129330889804,0.6387066911019522,25.608937714370928,64.8315168762738,7.1328664810856495
6,COLIMA,2408.3204165302814,860.214505962532,168.24746259646207,14.137371951708776,785153,5.079264805713027,11.122036087233953,1.2777127515274094,76.11433695088728,10.05,15.675161401663114,77.17565875695564,3.21,98.81068357041785,1.1893164295821523,22.05468233579952,62.982628863418974,7.866237535868806
7,CHIAPAS,291.0633821533595,83.86897383710328,32.092185369628154,3.106258290263084,5730367,3.9766737453290513,7.333928175978956,0.9294169116916945,84.52856509888458,7.78,31.669559733259668,64.5449584642659,4.09,88.77480250151181,11.225197498488184,30.88940027750404,59.27852439468536,6.090901333195588
8,CHIHUAHUA,1608.7915071128746,93.12145484122398,202.2629565746246,3.209270477578906,3801487,4.413746515508273,10.381148219104787,1.2968346333947742,82.71047618997514,10.0,15.1021955355891,83.02787830130683,3.25,98.24161829037983,1.7583817096201573,24.788273641340876,66.10431654770883,7.338181085454192
9,DISTRITO FEDERAL,9118.176843638928,1678.7111589379556,402.3886071577271,17.563614046234218,9018645,5.47298402365322,12.653985160741996,1.612526050199337,83.0448365580417,11.48,27.75127527472253,74.16870272640735,3.32,99.61804130799084,0.3819586920091615,18.326178710881734,72.35499346076932,11.333243519397868
10,DURANGO,2113.969211277071,266.8277513702544,137.98852432000925,3.638317042947122,1868996,5.454960845288059,11.655990703029861,1.2026242966812128,80.21317327591926,9.75,24.686730201669775,73.12294943381367,3.69,97.47902563915592,2.520974360844079,27.4962600240985,62.74111876108884,7.648063452249229
11,GUANAJUATO,2285.1798480293182,155.72780148277786,180.22936092836184,1.8143356601251568,6228175,4.58585380147475,9.854395549258008,1.1960807138527738,83.74374515809205,9.04,20.474537083495566,78.26788746302087,3.87,98.70415390559654,1.29584609440345,26.262781633464055,65.06279929513863,7.497669863162162
12,GUERRERO,1572.3610956159175,436.8003920101677,137.2418409602499,12.87924030529542,3657048,5.841186662029046,11.951415458588457,1.2781620585783944,78.0702632287025,8.37,24.39019121433462,71.97072611570863,3.74,92.50331460453503,7.496685395464962,28.300448886642997,59.46156572186091,8.661877011184977
13,HIDALGO,1531.1620540860688,258.2608813982829,212.44719600157333,8.974816729058384,3086414,5.40967608363622,13.388936156976996,1.2490547282380133,80.42501751223264,9.37,30.085076078581814,69.63981500861519,3.59,96.95756054196698,3.0424394580330247,25.641990996671215,65.56058260492598,8.577786388993829
14,JALISCO,1358.9199986253957,313.1624424339866,160.73119434918732,9.833890488035651,8409693,4.596802760814218,9.82214214002818,1.3031391276708912,83.54699749443886,9.9,29.16300273981464,69.39266391769593,3.56,99.24688055893793,0.7531194410620645,25.01861839665253,65.4843999656111,8.158133715463812
15,MEXICO,1759.850216235105,289.3941228348517,223.4878891701128,8.647109013822178,17427790,4.340946270295889,11.067668361851963,1.1780438024557331,81.40058492786521,10.08,32.54901510748064,64.65350454647434,3.71,98.82115774186381,1.1788422581361828,23.65226457284601,66.58199347134662,7.220387668201189
16,MICHOACAN,1181.0831887339518,163.86202929041545,130.9528472348723,6.755915207875988,4825401,5.348923333003827,11.275829718607842,1.183134831695853,81.10569463553392,8.6,36.98405583287275,61.22923255497316,3.68,98.14407726965602,1.855922730343971,26.906033301688293,62.671205978529045,8.763105905602457
17,MORELOS,1879.7411815124624,169.51573781174503,180.57217554492092,3.4734826506879943,2044058,5.345004887336857,12.563342136084202,1.197715524706246,77.93193735207123,9.84,27.013421341273098,69.31721115545645,3.5,98.6223600734123,1.3776399265877015,22.92258830228888,64.21505651992263,9.267251712035568
18,NAYARIT,1768.1602333127162,804.069003570622,166.38586465161796,21.65189190195961,1288571,5.293926372702785,12.163939744104129,1.2925170595954745,77.75070213437986,9.73,21.189286426591938,74.5448252366381,3.39,97.46145542115315,2.538544578846846,25.677902110167,61.596373036487705,8.51307378483607
19,NUEVO LEON,2718.178987275392,478.7748212927526,185.21776500569592,9.01936186054106,5610153,3.9251335926132493,9.82814550690507,1.2338166178355565,88.23620318376344,10.74,19.12004895410161,83.44629816691274,3.49,99.40812780621245,0.5918721937875471,24.62406996743226,70.37330354448443,7.786097812305654
20,OAXACA,1408.1498834465644,251.8828466019708,102.44732047766274,6.298881188379265,4143593,6.6096259936726405,13.332559447802907,1.185275677413298,79.12736603232992,8.12,29.34627025385939,70.10106928938242,3.65,90.54065576449605,9.459344235503938,27.680662651954474,62.288670726106545,9.527890408155434
21,PUEBLA,1436.7583316160571,135.5146703336886,191.08325582247485,4.920923783066905,6604451,4.544662379961635,10.391325486403034,1.0659326566280831,84.1630137009117,9.16,29.100753416143142,70.42193211820332,3.83,97.093466076722,2.90653392327801,26.96218050523806,64.81762072275198,7.813745608832588
22,QUERETARO,3342.1987798934656,336.5448095464322,203.76051099363625,5.571062410374985,2279637,4.218215443950067,10.73824472931436,1.274632759513905,87.94996747289152,10.48,21.33966942982589,82.1692225560473,3.53,98.61956926611887,1.3804307338811375,25.594557379091498,71.00634881781616,6.996420921401082
23,QUINTANA ROO,2736.384954322014,1017.0264597486506,198.92540819458944,30.407501135929078,1723259,3.8882721633834496,9.52364096168945,1.181018059386314,92.42371576182106,10.24,27.19150168372833,79.22941357044995,3.22,97.87328689166952,2.1267131083304807,26.54273095338542,75.31264888214714,4.742815792634769
24,SAN LUIS POTOSI,2651.717884180198,384.0354036890008,194.3030038288403,4.465933648786418,2866142,5.0193256300629905,11.713969510233618,1.3587603126432675,81.00404655456708,9.61,17.10606103954375,81.2050484588691,3.63,97.01119719928019,2.9888028007198013,25.3454992809149,64.19469098181459,8.860831040471826
25,SINALOA,1947.0810099490795,667.0628642678971,230.2106584335285,26.76868121320098,3156674,4.687148562062474,10.244833644525853,1.3003243287080009,80.20115475972494,10.22,18.219017865006016,77.534613963938,3.49,98.52038333395726,1.4796166660427508,23.661106595106116,63.608817381839245,8.549853421671036
26,SONORA,3001.387106898296,495.8459969851159,232.9624082647504,13.041731915980025,3074745,4.731221613499656,10.342190978438863,1.309767151422313,79.94568655286861,10.4,17.813737399361575,77.77812469001495,3.34,98.64263927068819,1.3573607293118028,23.541692075277787,64.44329529765884,7.701484188119665
27,TABASCO,3620.824581393911,830.1173236112456,175.6024891468176,11.70164915501264,2572287,5.623517126976889,9.949317475071794,1.178873119523599,77.28717674194209,9.69,29.370128605400563,63.95433324508502,3.58,96.15555286619065,3.8444471338093513,25.41057821308431,61.24705369190918,6.711498367017366
28,TAMAULIPAS,2090.4223467800653,389.0043340796943,153.09803698129787,11.121453393166387,3650602,4.647151346545035,10.57978930598296,1.2726394167318158,80.60936251062154,10.09,19.554555659587102,76.79300564673991,3.29,98.90003096001294,1.0999690399870548,23.87378848748782,64.76238713505334,7.84328173819003
29,TLAXCALA,1608.8277557207878,151.5205313580834,189.9984855193183,1.3768006197052054,1380011,3.936417898118203,10.370279657191137,0.9485431637863756,81.00333982845063,9.83,25.843344726962318,69.89792110352744,3.93,98.45657055363797,1.5434294463620208,25.21110338975559,63.3875382152751,7.201464336153843
30,VERACRUZ,1017.885300722658,277.2410139648627,128.97163912016376,8.723794365763757,8539862,5.491774925636972,12.066178586960772,1.2334157156169503,76.28164249024164,8.75,26.095035259351967,68.21577444694071,3.37,96.05270532884154,3.947294671158468,22.96176448752919,61.923295716019766,9.485422598163765
31,YUCATAN,2491.0384587122826,597.0967173624164,206.32128398148288,25.85102549778717,2259098,5.753889384170143,12.04060204559519,1.5016612825118698,84.13202968618448,9.59,22.35883525194569,80.12582898130138,3.52,97.48983793886808,2.5101620611319206,24.401110531725497,69.2123582066825,8.95321938224902
32,ZACATECAS,2081.640588901037,222.9321914084394,177.80567513949015,3.7205372455782615,1666426,5.756871292214596,12.016735216565271,1.1488658962354164,78.9414591467008,9.25,19.577106934241304,77.59474468113196,3.65,98.78384087586953,1.2161591241304677,27.532215651940138,61.19299626866119,8.505628212713916
